Open,High,Low,Close,Adj Close,Volume
1128.5048342733699,1148.5617377500157,1124.8465440689763,1143.902772440474,1143.8774919890957,1698661.3659262657
1128.991726113263,1148.9549908656622,1125.4171014030087,1144.2051842853434,1144.0032471201441,1904687.9814088345
1129.3637937203353,1149.28593570055,1125.701779587296,1144.5384070646337,1144.353905237889,1844191.2194490433
1133.7992027626196,1152.741173283283,1129.3934659008703,1147.455389126776,1147.1647402150097,1269082.428714633
1140.0152362651347,1157.4867702750973,1134.4996403267266,1152.4388823192005,1152.1655858193874,954062.7709425986
1141.1477837444402,1159.0484992292647,1135.9280227190075,1154.7204047503812,1154.6450150880908,1092576.6812875867
1141.7794094043359,1159.7939100872675,1136.618585890446,1155.509911575107,1155.4458105528636,1074300.7707059383
1143.3960203933389,1161.2091957894788,1137.798723902675,1156.619149751951,1156.5774372232174,1239757.529720664
1143.4357991778318,1161.4241529993687,1138.0156809234177,1157.073084434762,1157.0584986769059,1309297.5492864847
1143.4022992233029,1161.4249166779225,1138.031492965844,1157.073927326976,1157.0536247922735,1320223.1227189302
1143.3767980618506,1161.425368573662,1138.0399331957726,1157.0735657076034,1157.0519483142264,1333897.3758846521
1143.3712226507953,1161.4323780067361,1138.0431344314577,1157.0813405241145,1157.0641915230583,1348033.686554432
1143.3770429228632,1161.4460358612048,1138.0451534458505,1157.089269560652,1157.077455774825,1363171.6817975044
1143.397020613475,1161.47231523941,1138.0548656012916,1157.1064571167146,1157.1007084322766,1380912.128648162
1143.435290163727,1161.5166527752885,1138.0770131716401,1157.1389470219638,1157.140728529167,1403461.7424577475
1143.507779411484,1161.594678002485,1138.12357233975,1157.1993294802912,1157.2112217056144,1434558.1297010183
1143.65524658529,1161.7456490477846,1138.226444336348,1157.3200837610818,1157.3462466567933,1481165.8978909254
1143.97808024827,1162.0676790400491,1138.4707905994208,1157.5833373464072,1157.6276556617963,1554211.9838923216
1144.6149370297976,1162.7131338424326,1138.9981978604349,1158.121901598272,1158.178157341406,1657576.180702448
1145.3680567880951,1163.5284926068603,1139.68952552605,1158.8489493122438,1158.9122632805586,1765046.2081253529
1145.4884363978886,1163.7956614465452,1139.9509986008682,1159.202581151061,1159.2772382682253,1809497.805351019
1145.4162632434384,1163.7980875460173,1139.9875108962965,1159.2633890439445,1159.3362752897694,1812017.2336637974
1145.4156637049591,1163.817684421306,1140.0163568280557,1159.2874686398143,1159.3581373080162,1812579.6495318413
1145.401154576961,1163.8191297303047,1140.0213641979688,1159.294536171376,1159.3648538560692,1812361.889898777
