Open,High,Low,Close,Adj Close,Volume
0.009639245,0.010519676,0.008990989,0.009647602,0.009805464,0.0050219055
0.0031826985,0.0031697915,0.002811904,0.003035221,0.0028569184,0.03351254
0.0029221145,0.00293509,0.0026702336,0.0028632528,0.0026694299,0.022479545
0.0028567826,0.0029115179,0.0026888766,0.0028663941,0.0026280994,0.022694908
0.0029736608,0.0030431573,0.002810204,0.0029911774,0.0027464698,0.021329485
0.0030382352,0.0030955076,0.0028791733,0.003041903,0.0027882683,0.025047258
0.0030607341,0.0030925735,0.0028900274,0.0030327865,0.002781954,0.031846505
0.003053176,0.0030663265,0.0028724489,0.0030013924,0.002756386,0.03845815
0.0030132013,0.003019518,0.002832201,0.002954795,0.0027135874,0.043366086
0.0029429526,0.002948308,0.0027676483,0.0028886208,0.00264887,0.047589354
0.002852035,0.002857614,0.0026826167,0.0028043347,0.0025661357,0.051583894
0.0027468083,0.0027518377,0.0025816725,0.0027046,0.0024690442,0.055452716
0.0026323209,0.002635637,0.0024696894,0.0025934598,0.0023618597,0.059128378
0.0025138047,0.0025147386,0.0023525758,0.0024765555,0.0022499883,0.062285833
0.002396041,0.002394846,0.002236433,0.0023597707,0.002138825,0.06440879
0.0022812432,0.0022787221,0.0021247335,0.0022462276,0.0020310236,0.065301985
0.0021697278,0.002166462,0.002017943,0.0021363199,0.0019267732,0.06541794
0.0020627808,0.0020589924,0.0019166041,0.0020310672,0.0018270182,0.065279886
0.0019617893,0.0019575795,0.0018214632,0.0019317331,0.0017329883,0.06510242
0.0018672468,0.0018627243,0.0017327251,0.0018388394,0.0016451691,0.064936586
0.0017791172,0.0017744107,0.0016502395,0.0017523849,0.0015635593,0.06478896
0.0016971582,0.0016923993,0.0015737113,0.0016721514,0.0014879432,0.0646572
0.0016210674,0.0016163775,0.0015028078,0.001597825,0.0014180073,0.06453946
0.0015505274,0.0015460028,0.0014371838,0.0015290603,0.0013534164,0.06443458
