Open,High,Low,Close,Adj Close,Volume
0.007886968,0.0072920206,0.0069152513,0.008480306,0.009029192,0.015395404
0.00487504,0.004761505,0.0056581562,0.00555048,0.005693865,0.026987592
0.012201993,0.014648491,0.0173922,0.014925547,0.017062007,0.021993285
0.036075063,0.044332415,0.050931115,0.045007076,0.05303102,0.030527474
0.06357469,0.07595509,0.082895994,0.07795752,0.084801935,0.033111554
0.08444991,0.098515704,0.1034018,0.10146956,0.10454397,0.032825723
0.09819598,0.11239478,0.11599626,0.11577817,0.11687606,0.031979796
0.10684924,0.12056001,0.123693526,0.12393048,0.12421131,0.030548934
0.11307296,0.12619892,0.12924694,0.12950909,0.12945782,0.028137062
0.118272595,0.13088201,0.13396527,0.13423347,0.13395742,0.024608565
0.12308912,0.13523313,0.1383925,0.13881688,0.13827144,0.020008244
0.12760033,0.13923389,0.14253233,0.14332117,0.14237297,0.01465391
0.13087781,0.14174972,0.14529766,0.14659078,0.14498097,0.009471437
0.12942027,0.13873793,0.14245296,0.1439696,0.14125535,0.0058473097
0.124509126,0.13159925,0.13531424,0.13669416,0.13333192,0.0042736325
0.12330578,0.12883405,0.13264316,0.13417605,0.13124803,0.0037891078
0.12384852,0.12861784,0.13248362,0.13403112,0.13142712,0.0036153998
0.12486267,0.12933064,0.13325508,0.13475047,0.13228959,0.0035527202
0.12591533,0.13025619,0.1342184,0.13566294,0.13322379,0.0035261435
0.12685406,0.1311223,0.13510065,0.13650286,0.13403688,0.0035118202
0.12766328,0.13187814,0.13585907,0.13722795,0.1347259,0.0035022167
0.1283544,0.13252641,0.136501,0.13784344,0.13530795,0.0034942199
0.12894386,0.13308075,0.13704439,0.1383655,0.13580215,0.0034867695
0.12944755,0.1335557,0.13750616,0.13881016,0.136224,0.003479538
